"","Country","Colour","Lat","Lon"
"119","Japan","#C7CC8C",36.204824,138.252924
"120","Jamaica","#C6CD8D",18.109581,-77.297508
"121","Italy","#C5CD8E",41.87194,12.56738
"122","Israel","#C4CE8F",31.046051,34.851612
"123","Ireland","#C3CF90",53.1423672,-7.6920536
"124","Iraq","#C2CF90",33.223191,43.679291
"125","Iran (Islamic Rep. of)","#C1D091",32.427908,53.688046
"126","Indonesia","#BFD092",-0.789275,113.921327
"127","India","#BED193",20.593684,78.96288
"128","Iceland","#BDD294",64.963051,-19.020835
"129","Hungary","#BCD295",47.162494,19.5033041
"130","Honduras","#BBD396",15.199999,-86.241905
"131","Holy See (the)","#BAD497",38.9246496,-77.0656832
"132","Haiti","#B9D498",18.971187,-72.285215
"133","Guyana","#B7D599",4.860416,-58.93018
"134","Guinea-Bissau","#B6D69A",11.803749,-15.180413
"135","Guinea","#B5D69B",9.945587,-9.696645
"136","Guatemala","#B4D79C",15.783471,-90.230759
"137","Grenada","#B3D89D",12.1165,-61.679
"138","Greece","#B2D89E",39.074208,21.824312
"139","Gibraltar","#B1D99F",36.140751,-5.353585
"140","Ghana","#AFDA9F",7.946527,-1.023194
"141","Germany","#AEDAA0",51.165691,10.451526
"142","Georgia","#ADDBA1",32.1656221,-82.9000751
"143","Gambia","#ACDCA2",13.443182,-15.310139
"144","Gabon","#ABDCA3",-0.803689,11.609444
"145","French Polynesia","#A9DCA4",-17.679742,-149.406843
"146","French Guiana","#A8DAA4",3.933889,-53.125782
"147","France","#A6D9A4",46.227638,2.213749
"148","Finland","#A4D8A5",61.92411,25.7481511
"149","Fiji","#A2D7A5",-17.713371,178.065032
"150","Ethiopia","#A0D5A5",9.145,40.489673
"151","Estonia","#9FD4A6",58.595272,25.0136071
"152","Eritrea","#9DD3A6",15.179384,39.782334
"153","Equatorial Guinea","#9BD2A6",1.650801,10.267895
"154","El Salvador","#99D0A6",13.794185,-88.89653
"155","Egypt","#97CFA7",26.820553,30.802498
"156","Ecuador","#96CEA7",-1.831239,-78.183406
"157","Dominican Rep.","#94CDA7",18.735693,-70.162651
"158","Dominica","#92CBA8",15.414999,-61.370976
"159","Djibouti","#90CAA8",11.825138,42.590275
"160","Denmark","#8FC9A8",56.26392,9.501785
"161","Dem. Rep. of the Congo","#8DC8A9",-4.038333,21.758664
"162","Dem. People's Rep. of Korea","#8BC6A9",40.339852,127.510093
"163","Czech Rep.","#89C5A9",49.817492,15.472962
"164","Cyprus","#87C4AA",35.126413,33.429859
"165","Cura̤ao","#86C3AA",NA,NA
"166","Cuba","#84C1AA",21.521757,-77.781167
"167","Croatia","#82C0AA",45.1,15.2000001
"168","Costa Rica","#80BFAB",9.748917,-83.753428
"169","Cook Islands","#7EBEAB",-21.236736,-159.777671
"170","Congo","#7DBCAB",-4.038333,21.758664
"171","Comoros","#7BBBAC",-11.6455,43.3333
"172","Colombia","#79BAAC",4.570868,-74.297333
"173","China, Macao SAR","#77B8AC",22.198745,113.543873
"174","China, Hong Kong SAR","#76B7AD",22.3193039,114.1693611
"175","China","#74B6AD",35.86166,104.195397
"176","Chile","#72B5AD",-35.675147,-71.542969
"177","Chad","#70B3AE",15.454166,18.732207
"178","Central African Rep.","#6EB2AE",6.611111,20.939444
"179","Cayman Islands","#6DB1AE",19.3133,-81.2546
"180","C̫te d'Ivoire","#6BB0AE",7.539989,-5.54708
"181","Canada","#69AEAF",56.130366,-106.346771
"182","Cameroon","#67ADAF",7.369722,12.354722
"183","Cambodia","#65ACAF",12.565679,104.990963
"184","Cabo Verde","#64ABB0",16.5388,-23.0418
"185","Burundi","#62A9B0",-3.373056,29.918886
"186","Burkina Faso","#60A8B0",12.238333,-1.561593
"187","Bulgaria","#5EA7B1",42.733883,25.48583
"188","Brunei Darussalam","#5DA6B1",4.535277,114.727669
"189","British Virgin Islands","#5BA4B1",18.420695,-64.639968
"190","Brazil","#59A3B2",-14.235004,-51.92528
"191","Botswana","#57A2B2",-22.328474,24.684866
"192","Bosnia and Herzegovina","#55A1B2",43.915886,17.679076
"193","Bolivia (Plurinational State of)","#549FB2",-16.290154,-63.588653
"194","Bhutan","#529EB3",27.514162,90.433601
"195","Bermuda","#509DB3",32.3078,-64.7505
"196","Benin","#4E9CB3",9.30769,2.315834
"197","Belize","#4C9AB4",17.189877,-88.49765
"198","Belgium","#4B99B4",50.503887,4.469936
"199","Belarus","#4998B4",53.709807,27.953389
"200","Barbados","#4797B5",13.193887,-59.543198
"201","Bangladesh","#4595B5",23.684994,90.356331
"202","Bahrain","#4494B5",26.0667,50.5577
"203","Bahamas","#4293B6",25.03428,-77.39628
"204","Azerbaijan","#4092B6",40.143105,47.576927
"205","Austria","#3E90B6",47.516231,14.550072
"206","Australia","#3C8FB6",-25.274398,133.775136
"207","Aruba","#3B8EB7",12.52111,-69.968338
"208","Armenia","#398DB7",40.069099,45.038189
"209","Argentina","#378BB7",-38.416097,-63.616672
"210","Antigua and Barbuda","#358AB8",17.060816,-61.796428
"211","Anguilla","#3389B8",18.220554,-63.068615
"212","Angola","#3288B8",-11.202692,17.873887
"213","Andorra","#3086B9",42.506285,1.521801
"214","Algeria","#2E85B9",28.033886,1.659626
"215","Albania","#2C84B9",41.153332,20.168331
"216","Afghanistan","#2B83BA",33.93911,67.709953
